"","year","month","president","mipall_count","midall_count","inflation","ch_inflation_lag_1mth","ch_inflation_lag_2mth","ch_inflation_lag_3mth","monthly_approval","election","pres_sec_term","unified","democrat","coldwar","party","fine_tune_temp0","fine_tune_lag_1mth","mipall_count_lag1","unemp","employment_lag_1mth","misery","misery_lag_1mth","post_9_11"
"1",1945,4,"Harry S. Truman",0,0,NA,NA,NA,NA,NA,0,0,1,1,0,"Democrat",2.71428571428571,NA,NA,NA,NA,NA,NA,0
"2",1945,5,"Harry S. Truman",0,0,NA,NA,NA,NA,NA,0,0,1,1,0,"Democrat",3,2.71428571428571,0,NA,NA,NA,NA,0
"3",1945,6,"Harry S. Truman",0,0,NA,NA,NA,NA,87,0,0,1,1,0,"Democrat",2.57142857142857,3,0,NA,NA,NA,NA,0
"4",1945,7,"Harry S. Truman",0,0,NA,NA,NA,NA,NA,0,0,1,1,0,"Democrat",2.66666666666667,2.57142857142857,0,NA,NA,NA,NA,0
"5",1945,8,"Harry S. Truman",0,0,NA,NA,NA,NA,NA,0,0,1,1,0,"Democrat",2.71428571428571,2.66666666666667,0,NA,NA,NA,NA,0
"6",1945,9,"Harry S. Truman",1,0,NA,NA,NA,NA,NA,0,0,1,1,0,"Democrat",2.71428571428571,2.71428571428571,0,NA,NA,NA,NA,0
"7",1945,10,"Harry S. Truman",0,0,NA,NA,NA,NA,82,0,0,1,1,0,"Democrat",2.71428571428571,2.71428571428571,1,NA,NA,NA,NA,0
"8",1945,11,"Harry S. Truman",0,0,NA,NA,NA,NA,75,0,0,1,1,0,"Democrat",3,2.71428571428571,0,NA,NA,NA,NA,0
"9",1945,12,"Harry S. Truman",0,0,NA,NA,NA,NA,NA,0,0,1,1,0,"Democrat",1.5,3,0,NA,NA,NA,NA,0
"10",1946,1,"Harry S. Truman",0,0,NA,NA,NA,NA,63,0,0,1,1,0,"Democrat",1.28571428571429,1.5,0,NA,NA,NA,NA,0
"11",1946,2,"Harry S. Truman",0,0,NA,NA,NA,NA,49,0,0,1,1,0,"Democrat",1.66666666666667,1.28571428571429,0,NA,NA,NA,NA,0
